,Count
ab,28
abb,3
ability,3
able,17
abn,3
abp,10
abroad,9
ac,27
access,19
accessory,10
accident,2
accommodate,2
accordance,12
according,121
account,16
accounted,10
accounting,11
acg,3
achieve,7
achieved,4
acid,2
acknowledged,3
acquire,24
acquired,37
acquires,4
acquiring,12
acquisition,78
act,13
acted,2
acting,3
action,11
activate,2
activating,2
activation,2
active,8
actively,3
activision,2
activity,36
actor,2
actual,13
actually,2
adac,2
adaptation,2
add,11
added,38
adding,3
addition,40
additional,16
additionally,4
address,7
adequacy,2
adequate,2
adjust,3
adjusted,3
adjusting,2
adjustment,9
administered,2
administration,19
administrator,2
adopting,2
adp,28
adpnews,12
advance,2
advanced,9
advantage,6
advertisement,2
advertiser,2
advertising,6
advise,2
advisory,5
afe,3
affair,3
affarsvarlden,3
affect,7
affected,6
affecto,12
affectogenimap,3
aforementioned,2
africa,12
african,2
afternoon,5
afx,22
ag,11
age,2
agency,4
agenda,3
agent,3
aggregate,3
agm,2
ago,27
agreed,38
agreement,118
agricultural,5
agro,2
ahead,4
ahlstrom,21
aho,3
aim,43
aimed,9
air,8
airbus,4
aircraft,5
airline,14
airport,7
aker,7
aktia,10
alandsbanken,3
albat,2
aldata,15
aleksandri,2
alexander,2
alexandria,18
alfa,4
alliance,3
allocated,2
allocation,2
allotted,2
allow,6
allowed,3
allows,10
alloy,2
allure,2
alma,32
aln,3
alternative,5
altia,2
altima,3
altimo,5
altogether,5
aluminium,8
aluminum,3
alus,4
amanda,4
ameas,2
amendment,4
amer,14
america,32
american,13
amounted,37
amounting,2
amplifier,4
amro,2
analysis,28
analyst,29
analytics,4
andhra,2
angeles,2
angler,2
animal,5
anne,2
announce,3
announced,71
announcement,19
annual,68
annually,8
annum,3
anode,2
ansa,2
answer,3
antenna,5
antibody,4
anticipated,5
anticipates,4
antti,2
anttila,3
antwerp,2
apart,3
apartment,10
apetit,2
apiece,3
apollo,2
app,2
appeal,2
appear,2
appears,3
apple,5
applicable,2
applicant,2
application,51
applied,6
apply,5
applying,2
appointed,10
appointment,2
approach,11
appropriate,3
approval,16
approve,3
approved,15
approx,3
approximately,69
april,52
arabia,3
arcelormittal,2
architecture,2
area,90
arena,7
arm,4
arranged,3
arrangement,13
art,12
arthritis,2
article,3
arto,2
asa,5
ashley,2
asia,20
asian,11
asimilar,2
ask,2
asked,4
asphalt,4
aspo,23
aspocomp,20
assembly,4
asset,29
assigned,4
assignment,4
associate,4
associated,6
association,12
assumption,2
assurance,2
astana,2
asx,2
atom,2
atomic,2
atrium,21
attached,4
attack,3
attempt,4
attention,3
attract,4
attractive,3
audi,2
audio,5
auditor,3
aug,4
august,46
australia,6
austria,7
austrian,4
authentication,2
authorisation,2
authority,17
authorization,2
authorized,3
auto,3
automated,2
automatically,3
automation,19
automobile,3
automotive,5
autotank,2
autumn,13
availability,2
available,40
avc,2
avenue,4
average,10
avesta,2
aviation,4
award,8
awarded,35
awareness,2
away,6
axe,2
ba,2
baby,2
backed,2
backlog,2
backup,4
bag,5
bahia,2
bakery,2
balance,10
balanced,3
ball,3
baltic,46
baltimore,2
ban,2
band,3
bangalore,4
bank,111
banked,2
banking,16
bar,2
barc,2
barclays,5
barrel,2
base,27
based,127
basic,4
basis,13
basware,30
batch,2
bathroom,2
bavaria,2
bavelloni,4
bay,2
bbh,2
bcs,2
bearing,5
bed,3
beef,3
beer,24
begin,11
beginning,19
behalf,3
beijing,4
belarus,2
belgian,3
belgium,7
belief,2
believe,2
benchmark,8
benecol,3
benefit,7
benefon,13
bentos,2
bernhard,2
bertrand,2
best,24
bestseller,2
beta,2
beteiligungs,2
better,11
beverage,6
bg,4
bhushan,3
bi,2
bid,14
bidding,2
big,5
bigger,3
biggest,16
billing,7
billion,47
bim,4
biobv,2
biodiesel,6
biofuels,3
bioheapleaching,2
biohit,14
biological,2
biomass,3
biotie,6
birch,3
biscuit,2
bit,2
bj,2
bjorn,2
black,4
blackberry,2
blackstone,2
blast,2
bln,6
block,7
blog,2
bloomberg,2
blue,8
blyk,2
bn,25
bnamericas,2
bns,3
board,85
boat,6
bochum,2
body,7
bofa,2
bond,17
book,14
booked,3
booking,2
boomeranger,2
boosted,4
boosting,2
boot,2
borl,2
born,2
borrower,2
bosch,2
bosse,2
bothnia,3
botnia,5
bottle,3
bought,19
bow,2
box,5
bp,2
bps,2
branch,13
brand,57
branded,7
brasil,2
brazil,9
brazilian,6
brewer,3
brewery,9
brian,2
bridge,18
bridgestone,2
brief,5
bring,15
bringing,6
brings,4
bristol,2
britain,3
british,8
broad,6
broadband,20
broker,10
brokerage,3
brought,5
browser,3
bs,2
btt,2
budapest,2
budget,3
build,25
builder,3
building,83
built,31
bulgaria,3
bulk,2
bulletin,2
bullish,3
bunge,4
burdened,3
burning,2
bus,3
business,270
buster,2
button,2
buy,33
buyer,10
buying,5
buyout,11
ca,2
cabin,2
cable,8
cableway,2
cabot,2
cad,4
calcination,2
calculated,4
calculates,2
calendar,5
calif,3
california,2
called,10
caller,2
came,15
cameco,3
camera,5
campaign,6
canada,6
canadian,2
canal,2
canceled,5
cancellation,3
cancer,2
candidate,2
cap,10
capability,11
capable,3
capacity,50
capital,106
capman,26
capture,3
car,16
carbon,4
card,9
care,5
career,4
cargo,17
cargotec,28
carolina,2
carriage,2
carried,19
carrier,18
carry,8
carrying,4
cartel,3
case,4
cash,46
casting,2
catch,2
category,9
catering,2
cause,4
caused,3
cautious,2
caverion,2
cba,2
cc,2
cd,2
cdli,2
cdp,2
cell,7
cellular,2
cellulose,3
celular,2
cement,4
cencorp,16
cent,32
center,38
central,28
centralized,2
centre,13
ceo,74
ceramic,4
certain,7
certainly,2
certification,5
certified,5
cessation,2
cet,2
cfo,6
cgcbv,3
chain,33
chairman,27
challenge,8
challenging,3
chamber,3
chance,3
change,37
changed,6
changing,4
channel,7
chapter,3
characteristic,2
charge,10
charger,13
charging,13
charter,2
chartered,5
cheaper,2
cheapest,2
check,5
chemical,22
chennai,4
chf,2
chicago,3
chief,27
child,3
chile,2
china,47
chinese,9
chip,3
choice,3
cholesterol,2
choose,4
chose,2
chosen,9
chp,2
christmas,2
chrome,2
cider,3
cinema,3
circuit,12
circulating,3
circulation,3
citadele,2
citigroup,5
citing,3
city,35
citycon,12
civil,7
cjsc,3
claim,6
clarify,4
clarity,3
class,12
clean,4
cleaning,2
clear,13
clearly,7
clerical,2
click,3
client,24
clientele,2
climate,2
climbed,3
climber,2
clinical,5
close,25
closed,22
closely,2
closing,8
closure,4
clothing,17
cloud,3
cnc,3
cnl,2
coagulant,3
coal,2
coast,8
coated,7
coating,13
coca,3
code,7
coffee,2
cohen,2
cola,5
cold,2
collaboration,2
collar,3
colleague,2
collect,3
collection,6
collective,2
color,6
colorful,3
columbia,2
com,34
combination,5
combine,6
combined,25
combining,5
come,22
comfortably,2
coming,8
commence,3
comment,15
commented,2
commerce,4
commercial,27
commercially,6
commission,10
commissioned,5
commissioning,2
commitment,13
committed,5
committee,10
common,4
communal,2
communicated,3
communication,53
community,10
companiesandmarkets,2
company,904
comparable,13
comparative,2
compare,2
compared,147
comparison,2
compatible,3
compensation,5
compete,2
competence,5
competency,2
competing,2
competition,17
competitive,12
competitiveness,7
competitor,8
complement,4
complete,18
completed,40
completely,2
completes,2
completion,14
complex,11
component,20
componenta,22
composite,8
comprehensive,9
comprise,7
comprises,7
comprising,8
comptel,14
computer,15
concentrate,5
concentrating,4
concept,8
concern,13
concerned,3
concerning,18
concluded,8
concludes,3
concrete,4
condition,15
conduct,4
conducted,7
conference,12
confidence,2
confident,2
confirmed,8
congress,3
conjunction,3
connect,2
connection,12
connectivity,8
consecutive,3
consensus,6
consent,2
consequence,2
considerably,9
consideration,6
considered,4
considering,4
consistency,3
consistent,3
consisting,2
consists,11
consolidated,18
consolidating,3
consolidation,4
consortium,3
constantly,2
construct,4
construction,103
constructor,2
consultancy,9
consultant,3
consulting,12
consumer,46
consumption,13
contact,9
container,11
contains,7
content,26
continent,3
continental,2
continuation,4
continue,37
continued,21
continues,10
continuing,15
continuous,2
contract,169
contracted,4
contracting,4
contractor,4
contrast,2
contribute,5
contribution,4
control,28
controlled,13
controller,2
controlling,3
convenience,2
convergence,2
convergent,5
conversion,2
converter,3
convertible,6
converting,3
convinced,2
cooling,2
cooper,2
cooperate,2
cooperation,31
cooperative,5
copenhagen,4
copper,4
copy,3
copying,3
copyright,2
coq,5
core,16
corp,38
corporate,27
corporation,112
correlation,2
correspond,5
corresponding,118
corresponds,3
cosmetic,3
cost,71
council,5
counter,5
country,77
couple,5
course,9
court,9
covenant,2
cover,45
coverage,3
covered,4
covering,5
cramo,20
crane,18
create,11
created,6
creates,4
creating,7
creation,2
credit,29
crew,2
crisis,3
critical,3
crore,3
cross,9
crown,3
cruise,6
crystal,2
cth,5
cu,2
culture,4
currency,11
current,31
currently,36
custom,5
customer,138
customised,4
cut,36
cutlery,3
cutting,14
cv,4
cxe,3
cybercom,4
cycle,3
czech,13
dagens,2
daily,15
dairy,2
damage,2
danish,9
danske,9
dart,2
data,61
date,21
day,40
db,2
dc,5
deal,79
dealer,8
dean,2
debt,11
dec,13
decade,3
december,32
decide,2
decided,27
decision,28
deck,2
decker,2
decline,4
declined,16
decoration,4
decorative,2
decrease,11
decreased,77
dedicated,5
deducted,2
deep,2
defense,5
defined,4
degree,2
delayed,3
delegation,2
delhi,3
delight,2
delighted,5
deliver,28
delivered,31
delivering,3
delivers,3
delivery,52
demand,29
demanding,6
demonstrates,3
demonstration,5
den,2
denmark,12
department,16
depending,4
deploy,2
deployment,7
deposit,5
depot,4
depth,3
deputy,6
described,4
design,62
designed,14
desk,2
desktop,3
despite,2
destia,2
detailed,4
detection,2
determined,3
determining,3
deutsche,5
develop,16
developed,41
developer,34
developing,22
development,91
develops,8
device,51
diagnostic,5
diagnostics,3
diapol,2
diesel,4
differ,3
different,24
difficult,4
digia,15
digital,21
diluted,14
dilution,2
dimension,2
dinh,2
dioxide,2
direct,9
directed,12
directly,4
director,75
disappointment,2
disclose,12
disclosed,24
disclosing,2
disclosure,3
discontinue,3
discontinued,2
discount,3
discus,2
discussion,4
dismissed,5
display,4
disposable,3
disposal,4
dispute,3
distance,4
distinctive,2
distribute,5
distributed,5
distribution,38
distributor,9
district,11
diversified,3
diversify,2
divested,8
divestment,9
divided,6
dividend,38
division,44
djsi,2
dna,3
dnb,2
document,6
documentation,4
dog,2
doktas,3
dokumculuk,2
dollar,11
domestic,16
donation,3
dongguan,3
door,5
dopplr,2
doring,2
dos,3
dosing,2
double,13
doubled,5
douglas,2
dow,2
downtown,4
dozen,2
dragged,2
dress,2
drink,7
drive,16
driven,4
driver,3
driving,3
drop,7
dropped,15
dropping,2
drug,5
dry,2
drying,2
dubai,2
dubna,2
duration,6
durham,2
dutch,7
duty,5
dwt,3
dynamic,5
earlier,87
earliest,3
early,14
earn,2
earned,3
earnings,51
easier,3
east,14
eastern,16
easy,2
eb,9
ebg,2
ebit,13
ebitda,9
ebrd,4
ecb,2
eco,4
economic,16
economy,7
edge,3
edging,2
edita,2
editor,4
eek,5
eero,5
eesti,6
eet,8
effect,21
effected,2
effective,9
effectively,3
efficiency,19
efficient,15
effort,4
efo,3
efore,12
egm,2
eila,2
elcoteq,30
elect,2
elected,3
election,4
electric,3
electrical,11
electricity,16
electrification,2
electronic,20
electronics,50
elektrobit,5
element,2
elevator,11
eli,2
eligible,2
elisa,21
em,6
email,5
emerging,6
emirate,2
emission,9
emphasis,2
employ,28
employed,4
employee,85
employer,8
employing,4
employment,13
emt,2
en,3
enable,22
enables,20
enabling,9
enclosed,2
encourage,2
end,90
ended,9
ending,6
enefit,2
energia,2
energy,46
engaged,7
engine,10
engineer,6
engineered,2
engineering,51
english,4
enhance,5
enhanced,2
enjoy,2
enso,38
ensure,12
enter,10
entered,13
enterprise,16
enters,2
entertainment,2
entire,20
entirely,2
entirety,2
entitled,2
entitlement,2
entity,5
environment,17
environmental,13
environmentally,4
envisaged,3
epi,2
eps,44
eqt,3
equal,3
equipment,81
equipped,8
equity,17
equivalent,2
era,2
ericsson,4
erkki,4
eronen,2
erp,2
ervio,3
escalator,5
esl,5
especially,13
espoo,20
essential,4
establish,13
established,24
establishes,3
estate,30
estimate,32
estimated,52
estimation,4
estonia,27
estonian,11
ethanol,3
ethernet,2
etteplan,9
eu,12
eucalyptus,2
eur,872
euro,175
eurochem,2
euronext,3
europe,43
european,29
ev,2
evaluated,2
evaluation,2
evening,2
event,11
everest,2
evp,2
exactly,2
examining,2
example,8
exceeded,3
excellence,2
excellent,2
excess,6
exchange,66
excited,3
exciting,2
excluding,25
exclusive,4
executed,3
executive,27
exel,8
exercise,3
exercising,4
exhibition,3
existing,24
exit,2
expand,27
expanded,8
expanding,7
expands,7
expansion,19
expect,3
expectation,5
expected,81
expecting,2
expects,48
expenditure,6
expense,8
expensive,2
experience,26
expert,8
expertise,13
expire,2
expires,2
explained,5
explains,3
exploit,2
exploration,2
explore,2
expo,2
export,22
exported,3
exporter,2
exposure,2
express,3
expressly,2
extend,3
extended,9
extending,2
extends,4
extension,8
extensive,6
extensively,2
extra,3
extract,2
extraction,4
extraordinary,4
extremely,6
eye,4
fabric,3
fabrication,2
face,5
facility,62
fact,5
factor,8
factory,19
failed,3
fair,19
fall,15
fallen,3
faller,3
falling,2
family,12
far,12
farm,7
fast,4
faster,5
fastest,3
fat,6
favor,3
favorable,2
favorite,3
favourable,6
favourably,2
feasibility,3
feature,5
featured,3
featuring,3
feb,15
february,43
federal,7
federation,4
fee,6
feed,6
feeder,2
feedstock,2
feel,3
fell,54
felt,2
ferry,14
fertilizer,3
fesco,2
fewer,2
fi,4
fia,2
fiber,15
fibre,4
fidelity,2
field,15
fifth,5
figure,17
file,7
filed,4
filling,2
filmiteollisuus,2
filter,7
final,10
finalized,5
finance,12
financed,4
financial,129
financially,3
financialwire,3
financing,15
finding,2
fine,11
fined,2
finieris,3
finish,3
finished,2
finishing,2
finland,331
finnair,29
finnish,512
finnlines,11
fired,5
fireplace,7
firm,34
fisa,3
fiscal,14
fish,9
fishing,12
fiskars,31
fit,3
fitch,2
fitness,4
fixed,29
fixing,2
flagship,3
flat,4
fleet,9
flexi,4
flexible,11
flexibly,2
flight,12
float,2
floor,9
flooring,2
flow,27
fluid,2
focus,33
focused,6
focusing,8
folding,3
follow,4
followed,6
following,36
follows,4
food,46
foodservice,2
foot,5
force,5
forced,4
forecast,22
foreign,9
foresees,2
forest,27
forestal,2
forestry,10
forever,2
fork,2
form,15
forma,3
format,5
formation,3
formed,6
forming,2
forssa,4
fortum,22
forum,2
forward,16
foundation,6
founded,10
founder,2
foundry,5
fourth,32
frame,6
framework,5
framing,2
france,19
francisco,2
frankfurt,3
fray,2
free,11
freight,2
french,4
frequency,6
fresh,6
friday,32
friend,4
friendly,6
frn,2
frost,2
frozen,5
ft,6
ftse,8
ftth,2
fuel,14
fuelled,2
fujitsu,4
fulfill,2
fully,19
fun,4
function,15
functionality,8
fund,41
funded,2
funding,5
furnace,4
furniture,7
furthermore,7
future,29
gain,17
gained,2
gallerix,3
galvan,2
game,10
gaming,2
gantry,2
garden,6
garmin,3
gas,19
gasoline,2
gave,11
gbx,2
ge,2
general,35
generally,2
generate,4
generated,22
generates,4
generating,4
generation,14
generator,2
genesis,2
genetically,2
genuine,3
geo,3
geographic,2
geographical,3
geosentric,8
geosolutions,3
gerber,2
german,10
germany,24
getting,4
ghana,2
giant,5
gift,4
given,17
giving,6
gla,3
glass,19
glaston,23
glisten,3
global,68
globally,4
globe,3
gmbh,8
gmo,2
goal,12
going,11
gold,3
golden,2
goldman,5
gone,3
good,38
goodwill,5
goodyear,2
google,6
got,5
gothenburg,3
governance,2
government,25
gprs,2
gps,5
grade,5
gradually,5
grain,7
gran,2
grant,3
granted,7
grapevine,2
graphic,4
gray,2
grc,2
great,7
greater,2
green,6
grew,34
grid,5
grimaldi,9
grinding,3
gro,2
groep,2
gross,9
ground,13
group,312
grow,10
growhow,2
growing,19
grown,4
growth,65
grupe,2
gruppen,2
gsm,4
gts,2
guidance,7
guide,3
guinea,2
gulf,4
gunpoint,2
gypsii,9
half,53
hall,7
hamina,4
hampshire,3
han,2
hand,13
handelsbanken,4
handheld,2
handle,5
handled,3
handler,2
handling,31
handset,27
hannu,7
hansen,2
happened,2
happy,7
harbor,2
hard,2
hardware,7
harri,4
harvester,3
harvesting,3
hatch,3
head,28
headbox,3
headboxes,3
headcount,2
headed,2
headquartered,33
headquarters,8
health,3
healthcare,7
healthy,3
hearing,2
heart,2
heat,11
heating,13
heavily,2
heavy,5
hectare,6
height,3
heikki,5
hel,113
helasto,2
held,27
help,4
helped,3
helping,4
helsingin,2
helsinki,156
henrik,3
hiab,4
high,55
higher,29
highest,5
highlight,3
highly,5
hilton,3
historic,4
history,7
hit,13
hitting,2
hk,12
hkscan,9
hobby,5
hoist,2
hold,25
holder,6
holding,41
holiday,5
hollola,4
holmen,2
home,28
homeowner,2
homeware,2
hong,9
honka,3
honkarakenne,10
honored,2
hook,5
hope,7
hoped,2
hospital,2
host,2
hosting,2
hot,5
hotel,11
hour,10
house,25
household,4
housing,9
hspa,4
huge,5
huhtamaki,12
hull,2
human,8
hungary,6
hunting,2
husqvarna,2
hybrid,3
hydraulics,2
hydro,2
hydrogen,2
ibm,4
ice,6
icis,3
iconic,2
ict,5
id,7
idea,7
ideal,2
identical,3
identification,2
identity,5
ifrs,3
ii,6
iii,2
iittala,3
ilk,2
ilkka,10
ilmarinen,2
image,2
immediate,6
immediately,6
immersive,3
impact,16
impacted,2
implement,8
implementation,10
implemented,6
implementing,6
import,9
importance,3
important,16
imported,3
impressive,2
improve,22
improved,21
improvement,18
improves,2
improving,2
inaugural,2
inaugurated,3
incap,18
incentive,2
inception,2
include,50
included,21
includes,56
including,67
inclusion,2
inclusive,3
income,24
inconsistent,2
increase,105
increased,99
increasing,10
increasingly,4
incur,3
incurred,2
independent,8
index,24
india,21
indian,14
indicate,3
indicated,4
indicator,2
individual,7
indosat,3
industri,2
industrial,46
industriekapital,2
industry,100
inen,10
inflation,2
information,58
informed,7
infra,3
infrastructure,27
ing,2
ingredient,2
initial,8
initially,5
initiated,6
initiative,8
injection,2
inked,2
innova,3
innovation,4
innovative,10
innovator,2
inorganic,2
inside,2
insight,4
inspection,3
install,6
installation,19
installed,9
instead,3
institute,4
institution,10
institutional,5
instrument,7
insurance,24
insurer,4
intake,3
integrate,3
integrated,10
integration,8
intel,5
intellibis,3
intelligence,5
intellisync,2
intended,4
intends,7
intensive,3
intent,7
intention,2
inter,2
interaction,2
interactive,4
interconnection,2
interested,9
interesting,8
interface,7
interim,10
interior,6
internal,5
international,44
internationally,4
internet,30
interrupted,3
interview,2
introduce,6
introduced,6
introducing,2
introduction,2
invention,5
inventor,6
inventory,4
invest,22
invested,10
investigator,2
investing,3
investment,124
investor,43
invitation,2
invite,4
invoice,19
involve,3
involved,9
involves,4
involving,2
ipad,2
iphone,4
ir,2
ireland,5
irish,2
iron,6
island,3
iso,2
israel,2
issuance,2
issue,41
issued,28
issuer,2
issuing,2
italian,5
italy,10
item,32
itikka,2
ivrcl,3
ixonos,11
jan,12
january,90
japan,15
japanese,7
jari,2
jarmo,7
jarvenpaa,2
jaston,2
jensen,2
jet,3
job,29
john,5
join,9
joint,28
jointly,4
jon,4
jones,4
jordan,2
jorma,2
jouko,2
journalistic,2
journey,3
jp,2
jpm,3
jpmorgan,2
jsc,2
judge,2
judgement,2
juha,9
juhani,4
jukka,5
jul,2
july,38
jumped,10
jun,4
june,56
jussi,5
jyvaeskylae,3
jyvaskyla,10
kai,6
kaleva,2
kallasvuo,4
kallio,2
kalmar,8
kalnapilio,2
kalnapilis,2
kaluga,2
kansa,3
kari,7
karppinen,4
karvinen,2
kauhajoki,2
kauko,4
kaukomarkkinat,5
kaunas,2
kauniskangas,2
kauno,2
kauppalehti,3
kaupthing,11
kausta,2
kazakhstan,7
kci,5
kcr,4
kd,8
kel,2
kemira,24
kept,2
kermansavi,2
kesko,19
kevin,2
key,24
keyboard,2
kg,2
ki,3
kilo,3
kilometer,2
kilometre,3
kim,2
kind,7
kiruna,2
kit,2
km,6
know,13
knowledge,6
known,18
kone,20
konecranes,19
kong,9
korea,8
korean,3
koskinen,2
koskull,2
kostroma,2
kpi,2
kra,2
kraft,2
kraftliner,2
krippl,2
kronor,2
kroon,7
kuitu,4
kustannus,2
kw,2
ky,2
kyivstar,2
kymmene,20
kyro,6
kyronsalmi,2
kyroskoski,3
laasanen,2
laavainen,2
label,3
labor,2
laboratory,10
ladle,2
lahti,4
lahtinen,2
laid,9
laine,2
lake,2
land,19
landsbanken,2
lang,2
language,3
large,26
larger,8
largest,55
larox,3
lasse,2
lassi,2
lassila,6
lat,3
late,8
later,15
latest,17
latin,9
lattelecom,3
latvia,12
latvian,5
latvijas,3
launch,27
launched,14
launching,4
law,7
lay,31
layer,4
laying,4
layoff,9
le,19
lead,22
leader,16
leadership,3
leading,40
lean,2
learning,3
lease,10
leased,5
leasing,4
leave,4
