,Count
leaving,3
led,6
lee,4
leed,3
left,3
legal,2
lehdentekijat,2
leipurin,4
leisure,3
lem,6
lember,2
lemcon,3
lemmink,6
lemminkainen,14
lender,4
lending,4
length,4
leningrad,2
lesprom,2
let,4
letter,9
level,42
leverage,3
lewa,2
lg,3
liability,2
library,3
licence,7
license,7
licensing,8
lidskoe,2
lie,2
liechtenstein,2
lietuva,2
life,24
lifecycle,4
lifetree,2
lift,5
lifted,5
lifting,7
light,11
lihatoostus,2
lihir,2
liisa,2
like,13
likely,9
limit,5
limited,9
lindex,4
line,74
lining,3
link,8
linking,2
lion,3
liquefied,3
liquid,14
liquidated,2
liquidity,3
list,11
listed,22
listing,2
litas,3
liter,17
literature,2
lithuania,13
lithuanian,7
litre,6
little,6
live,10
living,2
lkab,3
llc,8
lng,4
load,9
loader,2
loan,24
local,40
locally,4
located,22
location,25
lock,2
lodged,2
log,6
logging,2
logical,2
logistics,22
london,19
long,57
longer,6
look,14
looking,8
loose,2
los,2
losing,2
loss,149
lost,5
lot,6
loudeac,5
love,3
loviisa,2
low,21
lower,39
lowered,3
lowering,2
lowest,3
loyal,4
lp,2
lse,2
lt,3
lte,5
lundmark,2
lure,4
luxembourg,2
luxury,2
lvl,3
lynch,2
macgregor,7
machine,32
machinery,47
madison,5
magazine,22
mail,14
main,27
mainly,18
maintain,3
maintains,2
maintenance,33
major,34
majority,11
make,55
maker,76
making,25
malaysia,6
mall,7
malware,2
man,6
manage,6
managed,12
management,84
manager,27
manages,7
managing,24
manavigator,2
manchester,2
mandate,2
mandatory,3
manufacture,30
manufactured,6
manufacturer,60
manufacturing,53
map,6
mara,2
marathon,3
marcel,5
march,59
margarine,4
margin,28
marimekko,21
marine,9
maritim,2
maritime,3
mark,9
marked,3
market,262
marketing,28
marketplace,5
marketwatch,3
marko,2
martela,5
martin,3
marubeni,3
master,5
mastercard,2
mat,2
matching,3
material,48
matter,8
matti,10
mature,2
maturing,3
maturity,4
max,3
maxi,2
maximum,23
md,3
meadville,3
meal,3
mean,11
measure,33
measured,3
measurement,11
measuring,4
meat,18
mechanical,8
mediation,3
medical,7
mediterranean,2
medium,73
meego,5
meet,9
meeting,33
megafon,4
megawatt,2
member,37
membership,2
memorandum,4
mentioned,3
meo,2
mercator,2
merchant,4
merge,4
merged,6
merger,11
merging,3
meri,2
merrill,2
mertano,2
message,4
messaging,7
met,5
metal,31
metallurgical,2
meteorology,2
meter,7
method,20
metre,15
metric,2
metro,5
metropolitan,3
metsa,4
metsaliitto,7
metso,30
meur,7
mexico,7
mezzanine,2
mformation,2
mg,2
mhz,4
michael,3
micro,4
microsoft,10
mid,22
middle,8
midnighttrader,3
mika,5
mikko,4
mikkonen,2
milestone,4
million,311
mineral,8
mining,9
minister,3
ministry,4
minn,2
minor,2
minority,5
mirabela,2
miracle,2
mitsubishi,3
mix,2
mixed,6
ml,2
mln,128
mm,2
mmo,4
mn,333
mo,2
mobile,117
mobility,9
model,22
modeling,4
modelling,3
modem,2
modern,10
modernization,2
modular,6
module,7
molecule,2
molybdenum,2
moment,6
monday,19
money,10
monitoring,3
monster,2
month,112
monthly,4
morgan,4
morning,5
mortar,2
mortgage,3
morvillars,5
moscow,15
motor,2
motorola,7
mount,2
mouse,2
moved,4
moving,5
mr,31
multi,7
multimedia,3
multiple,6
multiradio,2
mumbai,3
munich,3
municipal,3
municipality,6
museum,2
music,8
mutual,3
mw,11
myllykoski,2
nalmefene,2
named,7
narrow,4
narrowed,17
nasdaq,21
nastola,5
nation,3
national,16
nationwide,3
natural,21
navigation,10
navigator,3
navteq,4
nda,5
near,18
nearly,9
necessary,6
nederland,2
need,23
needed,7
negative,18
negotiating,6
negotiation,48
nekoski,3
nembv,3
nen,3
neomarkka,7
neste,25
net,384
netherlands,9
network,86
networking,7
neudorf,3
neutral,2
nevsky,3
new,261
newcomer,2
newest,2
newly,5
newpage,4
news,61
newspaper,19
newsprint,2
newstex,5
newswire,2
nexbtl,3
nge,2
niam,2
niche,4
nickel,9
nicotine,2
nielsen,2
night,2
nil,2
nissan,2
nnen,9
nok,12
nokia,114
nokian,12
nominal,3
nomination,7
non,44
nonwovens,9
noop,2
nordea,42
nordic,49
nordstjernan,6
normal,3
normally,3
norske,3
north,35
northern,17
northland,2
northwest,2
northwestern,2
norway,16
norwegian,15
notably,2
note,12
noted,7
notice,8
noticeable,3
notification,2
nov,10
novator,4
novel,7
november,39
ntsb,2
ntt,2
nuclear,6
number,71
nurminen,3
nv,2
nyberg,4
nyrstar,2
nyse,15
oasis,2
objective,6
observed,3
obtained,4
occupied,2
oct,15
october,61
odell,2
offer,58
offered,6
offering,29
office,63
officer,12
official,9
offs,18
offset,3
offshore,7
ohio,2
oil,42
okm,4
okmetic,21
oko,6
old,11
oldest,3
olli,6
olvi,16
omx,80
omxn,3
oneworld,2
ongoing,5
online,23
onwards,2
ooo,2
op,6
open,16
opened,10
opening,8
operate,11
operated,3
operates,23
operating,294
operation,165
operational,18
operative,5
operator,42
opinion,4
opportunity,12
optical,2
optimization,3
option,49
oral,2
orange,8
order,129
ordered,12
ore,11
organic,4
organization,20
organized,3
orhangazi,2
oriental,2
oriented,2
original,5
originally,2
oriola,9
orion,11
ornamental,4
os,6
osl,5
oslo,4
ostrava,2
ostrom,2
osuuskunta,2
ote,2
otto,3
oulu,13
outcome,3
outdoor,3
outlet,6
outlook,19
outokumpu,21
outotec,21
output,10
outside,16
outsourced,3
outsourcing,3
outstanding,8
overall,13
overlaid,2
overview,9
ovi,2
ovum,2
owing,3
owned,31
owner,29
ownership,12
owns,17
oxygen,3
oy,78
oyj,229
paatela,2
pacific,7
pack,2
package,4
packaging,26
packed,3
page,4
paid,23
paikallissanomat,4
paint,13
pakistan,2
palm,5
palmberg,2
panel,6
pankki,2
panostaja,17
paper,83
paperboard,3
papua,2
par,4
parent,7
paris,3
park,24
parking,2
parliament,2
parnu,2
partially,2
participant,7
participate,6
participated,6
participating,2
particular,8
particularly,3
partly,5
partner,40
partnership,13
party,19
pas,2
passenger,26
past,10
patch,2
patent,19
patient,7
patja,2
patricia,2
patronage,2
pattern,4
paul,2
pay,20
payable,4
payment,13
payroll,3
pc,6
pcb,2
pcbs,3
pct,62
pda,2
peab,3
pearl,6
peat,2
peeling,3
pekka,9
pellet,2
peltonen,2
penny,2
pension,16
people,61
percent,97
percentage,5
perfect,3
perform,2
performance,34
period,240
permanent,7
permanently,2
permission,2
permit,2
peroxide,2
person,18
personal,11
personnel,35
perspective,2
pertti,2
pesonen,2
peter,5
petersburg,30
petition,2
petrochemical,2
pharmaceutical,26
pharmacokinetic,2
pharmacy,2
phase,16
philippine,3
phone,59
phosphate,2
photo,2
physical,3
pick,2
picked,4
piece,3
pietarsaari,2
pilot,6
pine,2
pioneer,3
pipe,2
pipeline,4
pipette,3
pipettors,3
pirkka,3
pit,3
pivo,2
pkc,4
place,34
placed,7
plan,67
planned,20
planning,22
plant,136
plasterboard,2
plastic,8
plate,4
platform,20
platinum,2
play,5
played,2
player,19
plaza,3
plc,63
pleased,13
plot,6
plumbing,8
plus,10
plx,2
plywood,7
pm,8
poh,4
pohjola,23
pohjolan,2
point,26
poland,20
pole,3
police,2
policy,9
polish,3
polytechnic,3
ponsse,10
poor,4
popular,8
populated,2
population,2
pori,3
port,15
portable,2
portal,3
portfolio,24
portion,6
portti,3
portugal,2
porvoo,2
position,42
positioning,2
positive,28
possibility,2
possible,6
possibly,2
post,9
posted,28
posting,2
potential,14
poultry,5
pound,5
powder,5
power,43
powered,4
powerful,3
poy,2
poyry,22
pradesh,2
pre,16
precision,3
precor,3
predefined,3
prefer,3
preferred,3
preliminary,10
premier,3
premise,10
premium,5
prepaid,7
preparation,3
prepare,2
prepared,2
preparing,3
presence,14
present,20
presentation,4
presently,3
president,45
press,32
pretax,29
previous,29
previously,35
price,104
priced,2
pricing,7
priit,2
primarily,7
primary,5
prime,3
principal,5
print,5
printed,8
printing,14
prior,7
priority,2
privacy,4
private,18
privately,2
pro,6
problem,6
procedure,4
proceed,2
proceeded,2
proceeds,3
process,54
processed,2
processing,30
processor,3
procurement,9
produce,16
produced,14
producer,20
producing,11
product,175
production,122
productional,2
productivity,4
produkt,2
prof,2
professional,7
profile,14
profiling,2
profit,410
profitability,11
profitable,7
program,42
progress,2
progressed,2
proha,5
prohibited,3
prohouse,2
project,114
projected,2
projection,2
proline,3
prolongation,2
promise,3
promising,5
promote,3
promoting,2
promotion,2
property,38
proportion,5
proposal,11
propose,11
proposed,11
proposes,3
proprietary,3
prosecutor,2
prospect,6
protalix,6
protect,2
protection,7
protein,3
protocol,4
proud,7
proved,2
proven,3
provide,36
provided,22
provider,50
provides,32
providing,21
provision,2
provisioning,3
psoriasis,3
publ,2
public,22
publication,5
publish,11
published,25
publisher,8
publishing,5
pulkovo,3
pulp,30
purchase,35
purchased,6
purchasing,2
purpose,4
pursue,3
push,2
pushed,3
putting,5
pvt,5
qpr,8
qt,3
qualcomm,4
quality,34
quarter,227
quarterly,5
question,2
quick,4
quickly,4
quite,7
quote,2
quoted,6
ra,2
raahe,5
radiation,2
radio,10
ragot,3
ragutis,7
raiffeisen,2
rail,4
railway,8
raise,11
raised,14
raisio,19
raivv,3
rakvere,3
ramirent,16
range,37
ranging,2
rank,2
rantanen,3
rao,2
rap,3
rapala,18
rapid,5
rapidly,4
rate,29
rating,13
ratio,9
rautakirja,2
rautalinko,2
rautaruukki,22
raute,18
raw,21
rbff,2
reach,13
reached,12
reaching,2
reactor,3
read,5
reader,7
reading,3
ready,10
real,60
realized,5
really,2
reason,8
rebuild,2
receive,11
received,27
recent,11
recently,19
reception,4
recipient,2
recognize,4
recognized,5
recommendation,12
record,17
recorded,12
recovered,2
recovery,6
recruit,4
recruited,2
recruitment,2
recurring,28
recycled,6
recycling,6
red,6
redistribution,2
reduce,12
reduced,9
reduction,28
redundancy,2
redundant,6
reel,2
reference,3
refinance,3
refinery,7
refining,7
reflect,2
reflected,2
reflects,3
refurbishment,2
refused,3
regarding,6
region,35
regional,7
regionally,2
register,17
registered,13
registration,8
regular,2
regulatory,2
rehu,3
reijo,2
reimbursed,2
reiterated,2
rejected,2
related,44
relates,3
relation,5
relationship,5
relative,5
relatively,5
release,54
released,12
relevant,5
reliability,2
reliable,3
relocate,4
relocated,2
relocation,3
rely,2
remain,24
remainder,5
remained,9
remaining,16
remains,3
remote,4
remotely,2
removal,4
remuneration,4
renesas,2
renewable,4
renovate,2
renovation,3
rent,3
rental,23
reorganisation,8
repair,2
repayment,3
repeat,3
repeated,4
replace,2
replaced,2
replacement,2
report,85
reported,53
reportedly,2
reporter,5
reporting,18
represent,3
representative,10
represented,5
representing,17
represents,7
republic,11
republication,2
repurchase,5
repurchased,2
request,3
required,10
requirement,8
requires,2
research,28
reservation,2
reserve,4
reserved,3
resident,4
residential,11
residue,2
resignation,3
resolution,3
resolved,4
resort,2
resource,25
respective,4
respectively,24
respondent,2
responsibility,8
responsible,19
rest,6
restaurant,4
restriction,2
restructuring,19
result,114
resulted,4
resulting,3
retail,37
retailer,16
retained,2
retaining,3
retirement,2
return,18
returned,5
reuters,4
revealed,2
revenue,62
review,9
revolving,4
reward,2
rheumatoid,2
rich,3
riga,2
right,64
rigid,3
rihko,4
rim,2
rinkuskiai,2
rise,17
risen,2
risfelt,4
rising,3
risk,4
risto,5
rival,7
rmr,4
road,11
robust,2
rocketed,2
rod,2
roger,2
role,9
roll,4
rolling,2
romania,6
roof,4
room,5
ropax,2
rose,101
rosen,3
rosenlew,2
rostelecom,2
roughly,2
roundtable,2
route,14
routing,2
royal,5
royalty,2
rpk,2
rsa,2
rspo,3
rtrks,7
rts,2
rtsil,4
rubber,2
ruble,2
rug,2
rule,6
run,10
running,5
ruokatalo,11
russia,83
russian,38
rutav,4
ruukki,41
rvi,7
ryobi,2
sa,3
saa,2
saarelainen,2
sachs,5
safety,13
safran,3
said,544
saint,6
sal,4
salaried,3
salary,4
salcomp,12
sale,473
salo,4
salomon,6
salonen,2
samas,3
sami,8
sampo,28
samsung,5
san,4
sanoma,25
sanomat,6
sanomawsoy,2
sap,2
sappi,5
sarantel,2
sastamala,2
satama,10
satisfied,3
saudi,3
savcor,5
save,3
saved,2
saving,31
savonlinna,2
saw,8
sawmill,6
sawn,2
say,52
saying,6
scaffolding,3
scale,6
scan,4
scandic,2
scandinavia,3
scandinavian,7
scanfil,23
scanning,2
scene,2
scf,2
schedule,3
scheduled,22
scheme,8
school,3
sciard,2
science,14
scissors,6
scope,7
scott,3
screen,6
sda,2
sdm,2
se,10
sea,13
seal,3
sealed,2
search,4
season,2
seat,6
seb,3
second,89
secondary,3
section,11
sector,59
secure,25
secured,5
security,36
seek,4
seeking,2
seen,12
segment,29
seikku,2
seinajoki,2
sek,16
select,2
selected,13
selection,8
sell,48
seller,7
selling,16
semiconductor,2
seminar,3
send,7
sending,3
senior,13
sense,3
sensor,3
sent,3
sentera,4
sep,2
separate,5
separated,3
separately,2
separating,3
sepp,4
seppala,5
seppo,2
sept,5
september,84
serf,6
series,9
serve,14
served,3
server,6
service,287
servicing,2
serving,7
session,2
set,36
setting,2
settlement,2
seven,10
shade,2
shale,3
shalkiya,2
shall,9
shanghai,7
shape,4
share,344
shareholder,51
shareholding,5
sharing,2
sharply,2
shb,3
shed,2
sheet,11
shell,2
shelter,2
shenzhen,2
shift,4
ship,16
shipbuilder,2
shipment,3
shipping,24
shipyard,4
shoe,5
shooting,2
shop,13
shopping,18
short,15
shot,4
showed,5
shrank,2
shut,2
siemens,18
sievi,4
sign,5
signal,2
signaling,2
signature,2
signed,75
significant,38
significantly,11
signing,5
sihvo,3
silicon,11
silva,3
silver,2
similar,12
simplify,2
simultaneously,6
singapore,3
single,7
sinter,2
sister,3
site,32
sitra,2
situation,33
size,14
sized,3
sizing,2
ski,4
skier,4
skog,3
skogster,2
slashed,2
slaughterhouse,3
slaughtering,2
slid,3
slide,3
slight,3
slightly,18
slipped,10
slovak,2
slovakia,3
slowed,2
sludge,2
small,20
smaller,10
smart,2
smartphone,7
smartphones,3
smelter,3
smith,2
smoking,4
sna,2
snack,2
snow,3
soapstone,4
social,14
sodra,2
soft,5
software,67
solar,5
sold,29
sole,6
solely,2
solid,5
solidium,6
solteq,6
solution,154
somaxon,2
sony,2
soon,7
sotkamo,2
sound,4
source,14
sourcing,4
south,20
southeastern,3
southern,12
southwestern,2
soy,3
spa,2
space,18
spain,5
spanning,3
spark,2
special,13
specialises,6
specialising,7
specialist,8
specialized,2
specialty,12
specific,2
specifically,2
specified,3
speed,8
speeded,2
spend,2
spending,2
spent,2
spin,3
split,4
spokesman,2
spokesperson,3
spokeswoman,4
sponda,14
sponsoring,2
sport,29
sporting,2
spot,5
spread,3
spring,15
sq,15
square,21
sriperumbudur,2
srl,2
srv,7
ssh,7
st,33
stabilised,2
stable,3
stacker,3
staff,31
stage,11
stainless,14
stake,58
stakeholder,3
stand,4
standard,16
standing,5
star,6
start,56
started,31
starting,17
state,44
stated,7
statement,24
station,17
stationery,3
statistic,4
status,7
statutory,6
stay,4
steel,50
steer,2
stefan,2
step,6
sterling,2
sterv,2
sto,11
stock,96
stockholm,18
stockmann,23
stone,7
stonegate,5
stonesoft,8
stood,14
stop,4
stopped,2
stora,41
storage,6
store,46
storengy,2
storey,2
storm,3
story,4
stoxx,2
strait,3
strand,2
strategic,25
strategy,38
stream,7
streaming,2
streamline,5
streamlining,4
street,11
strength,8
strengthen,16
strengthened,5
strengthening,8
strengthens,5
strike,7
strip,2
strong,28
stronger,6
strongest,2
strongly,2
structural,3
structure,37
struggling,2
stuck,2
student,2
study,12
studying,2
stx,2
style,2
subcontractor,6
subject,10
subordinated,3
subscribe,3
subscribed,18
subscriber,7
subscription,31
subsidiary,60
substantial,6
substation,2
suburb,2
succeed,2
succeeded,2
success,4
successful,6
successfully,4
suffering,2
sufficient,3
suisse,2
suitable,6
suite,5
sulphuric,2
sum,14
summary,3
summer,19
summit,4
sun,2
sunrise,2
suomen,16
suomi,4
suominen,12
super,2
superior,3
supermarket,6
superstructure,2
supervision,3
supervisory,3
supplied,3
supplier,43
supply,62
supplying,4
support,41
supported,4
supporting,6
supposed,2
sure,2
surface,6
surfing,2
surged,8
surpass,2
surrounding,2
surveillance,2
survey,4
suspect,2
sustainability,4
sustainable,11
suv,2
suy,2
svenska,3
sverige,4
sveza,2
svp,2
svyturys,2
swap,2
swedbank,4
sweden,45
swedish,50
swing,2
swiss,3
switch,3
switzerland,4
swung,8
symbian,6
syndicate,2
syndicated,6
synergy,7
sysopen,9
systemhaus,2
ta,2
tablet,4
tackle,5
tailor,3
tailored,2
taiwan,4
takanen,2
taken,12
takeover,9
taking,8
talentum,14
talermo,2
talk,13
talking,2
tallink,6
tallinn,13
talo,3
talvivaara,15
tamglass,5
tampere,13
tank,3
tanker,3
tap,4
tape,3
tapio,2
tapiola,2
target,44
targeted,6
targeting,4
task,5
tata,2
tauras,2
tauro,2
tax,40
tb,2
team,17
tec,2
tech,5
technical,16
techno,2
technological,4
technologically,2
technology,129
technopark,2
technoparks,2
technopolis,16
tecnomen,12
tecnotree,7
tectia,5
tehtaat,9
tekla,19
teks,2
tel,12
telanne,3
tele,2
telecom,30
telecominvest,2
telecomms,2
telecommunication,19
telecomworldwire,2
telemig,2
telenor,5
telephone,4
teleste,26
television,2
teliasonera,28
telko,6
temporarily,14
temporary,20
tenant,3
tender,6
tenth,3
teollisuuden,2
term,74
terminal,11
terminate,2
terminated,2
termination,3
territory,6
test,15
testing,6
teus,3
teva,2
texas,4
text,2
textile,11
tgk,4
th,5
thanks,9
therapeutic,4
therapy,3
thermal,2
thesis,2
thing,5
thomson,10
thousand,4
threat,2
throughput,2
thursday,22
tie,3
tieto,10
tietoenator,10
tii,4
tiimari,13
tik,3
tikanoja,6
tikkurila,19
tim,2
timber,2
time,68
timetable,4
timo,6
tip,5
tire,8
title,2
tj,2
tlsn,2
tlt,6
tm,7
tobacco,2
today,149
told,17
tolerated,2
tomorrow,4
tomtom,3
ton,11
tonne,22
took,8
tool,24
toolonlahti,2
topical,2
tornio,2
tortue,3
total,139
totaled,48
totaling,2
totalled,51
totalling,5
touch,7
tough,4
tournament,2
tower,7
town,6
toy,2
trace,2
track,7
tracking,2
trade,34
traded,8
trademark,8
trading,19
tradition,2
traditional,4
traffic,30
trailer,3
train,3
trainer,4
training,10
transaction,60
transfer,25
transferred,11
transferring,6
transmission,4
transport,12
transportation,14
travel,9
treasury,2
treat,2
treatment,16
tree,3
trend,11
trh,2
trial,5
tried,2
trip,2
tripled,3
trojan,3
trouble,3
truck,7
truly,3
trust,4
try,3
trygvesta,2
trying,3
tse,2
tube,4
tuesday,22
tulikivi,9
tulonen,3
tumkur,2
tunnel,3
tuomas,2
turbine,2
turkey,8
turkish,4
turku,10
turn,10
turned,10
turning,2
turnkey,4
turnover,38
turun,4
tv,9
tvo,4
twh,2
twig,4
twist,2
tyo,2
type,17
typically,2
tyre,13
tyrv,3
tyrvaan,2
uae,2
ubs,2
uk,25
ukmerge,2
ukonaho,2
ukraine,8
ultra,4
umbrella,2
umts,2
unaudited,2
unbanked,2
uncertainty,4
unchanged,6
underground,8
underlying,4
understand,4
understanding,5
undertaking,2
undisclosed,10
unibrew,2
unicom,2
unified,2
uniglass,2
union,13
unique,3
unit,121
united,14
university,10
unless,2
unnamed,5
unsecured,3
unveil,2
update,6
updated,4
upgrade,10
upgraded,8
upm,39
uponor,15
uranium,4
urban,2
url,2
uruguay,2
uruguayan,2
usa,15
usd,91
use,58
used,33
user,31
using,25
usmanov,2
utenos,2
utility,8
va,21
vaahto,15
vaasa,2
vacon,12
vaias,3
vaisala,16
valid,2
valkama,2
valkeakoski,3
valley,3
valmet,2
valuation,2
value,104
valued,10
valve,3
van,3
vantaa,12
varesvuo,2
variant,2
variety,7
various,16
varma,2
vartan,2
vary,3
vat,5
vauramo,2
vdw,2
vegetable,5
vehicle,14
veidekke,2
vendor,10
veneer,8
venture,23
veracel,2
verizon,3
version,10
versus,20
vessel,19
viable,2
vianor,2
vice,19
vicinity,2
victoria,2
video,23
vietnam,4
view,3
viewed,6
viewing,2
viking,14
village,3
vimpelcom,2
virala,2
visibility,6
vision,2
visit,4
visitor,5
visual,2
vladimir,2
vmc,8
vodafone,3
voice,14
voima,3
voip,2
volkswagen,2
vologda,2
volume,43
volunteer,3
von,2
vote,14
voting,30
vr,4
vsevolozhsk,2
vuosaari,2
vwr,2
wafer,9
wagon,3
wahlroos,4
wait,2
walking,3
wall,3
walter,2
want,14
warehouse,11
warehousing,2
warmly,4
warning,12
warrant,3
warsaw,2
wartsila,11
washington,4
waste,13
wastewater,2
watch,3
water,20
waterborne,3
watermark,2
waterqueen,3
wave,3
way,21
wcdma,3
weak,7
weakened,2
weaker,2
weakness,5
weather,4
web,16
webcast,8
website,11
wednesday,26
week,30
weekly,3
weight,2
welcome,11
welding,2
wellness,2
went,21
west,6
westerlund,2
western,7
westpac,2
wet,5
whilst,2
white,5
whitehall,2
wholesale,8
wholesaler,3
wholly,6
wi,2
wide,14
widened,5
wider,2
wife,2
williams,2
wilson,3
wimax,2
win,8
wind,7
window,11
winner,3
winning,4
winter,4
wipe,7
wire,2
wireless,15
wirsam,2
wish,3
wo,2
wonderware,2
wood,18
wooden,4
work,45
worked,7
worker,15
workflow,3
workforce,4
working,19
workshop,2
world,55
worldwide,15
worth,29
write,2
written,3
wrote,4
www,28
wysockiego,2
xpress,2
ya,2
yahoo,2
yara,3
yard,6
year,390
yearly,3
yesterday,25
yhtyma,5
yield,3
yit,32
yliopistonrinne,2
york,6
young,2
youtube,2
yty,2
zao,2
zinc,7
zone,7
